--, IBI
22.157264,0.828163
22.938550,0.781286
27.938779,0.859414
28.782568,0.843789
43.658248,0.796911
44.455160,0.796911
45.220820,0.765660
51.517983,0.812537
52.205515,0.687531
53.111806,0.906291
53.908718,0.796911
54.736881,0.828163
55.549418,0.812537
56.393206,0.843789
57.252621,0.859414
66.237407,0.781286
67.034318,0.796911
67.878107,0.843789
68.721896,0.843789
69.534433,0.812537
70.346970,0.812537
71.284513,0.937543
78.003571,0.828163
78.800482,0.796911
79.628645,0.828163
80.456808,0.828163
81.269345,0.812537
82.113134,0.843789
82.941297,0.828163
83.785085,0.843789
84.660125,0.875040
85.488288,0.828163
86.347703,0.859414
87.160240,0.812537
88.191537,1.031297
94.738712,0.828163
95.535623,0.796911
96.363786,0.828163
97.191949,0.828163
98.020112,0.828163
98.832649,0.812537
99.676438,0.843789
100.520226,0.843789
101.379641,0.859414
102.223429,0.843789
103.129721,0.906291
103.989135,0.859414
104.864175,0.875040
105.723589,0.859414
106.629881,0.906291
111.020707,0.906291
111.895747,0.875040
112.755161,0.859414
113.692704,0.937543
118.817939,0.843789
119.661727,0.843789
120.458639,0.796911
121.380556,0.921917
122.193093,0.812537
123.005630,0.812537
123.865045,0.859414
124.677582,0.812537
125.505745,0.828163
126.349534,0.843789
156.007141,0.812537
156.835304,0.828163
157.647841,0.812537
158.476004,0.828163
159.304167,0.828163
160.147956,0.843789
160.976119,0.828163
161.804281,0.828163
162.648070,0.843789
163.476233,0.828163
164.320022,0.843789
165.163810,0.843789
275.106343,0.796911
282.981703,0.796911
283.778615,0.796911
284.544275,0.765660
285.341186,0.796911
286.122472,0.781286
286.919384,0.796911
287.700669,0.781286
288.497581,0.796911
289.294492,0.796911
290.091404,0.796911
290.888315,0.796911
291.700852,0.812537
292.497764,0.796911
293.294675,0.796911
294.107213,0.812537
294.919750,0.812537
295.716661,0.796911
296.529198,0.812537
306.935925,0.765660
307.748462,0.812537
308.545373,0.796911
309.373536,0.828163
310.154822,0.781286
310.967359,0.812537
311.779896,0.812537
312.608059,0.828163
313.420597,0.812537
314.248760,0.828163
315.076922,0.828163
315.905085,0.828163
316.717623,0.812537
317.530160,0.812537
318.373948,0.843789
319.202111,0.828163
320.030274,0.828163
320.874063,0.843789
321.702226,0.828163
322.546014,0.843789
323.374177,0.828163
324.217966,0.843789
325.046129,0.828163
325.889917,0.843789
326.718080,0.828163
327.561869,0.843789
328.405658,0.843789
329.218195,0.812537
330.061983,0.843789
330.890146,0.828163
331.718309,0.828163
332.546472,0.828163
333.405886,0.859414
334.218424,0.812537
335.046587,0.828163
335.859124,0.812537
336.702912,0.843789
337.515450,0.812537
338.343612,0.828163
339.171775,0.828163
339.999938,0.828163
340.812475,0.812537
341.640638,0.828163
342.500053,0.859414
343.296964,0.796911
344.078250,0.781286
344.875161,0.796911
345.703324,0.828163
346.500236,0.796911
347.312773,0.812537
348.140936,0.828163
348.953473,0.812537
349.781636,0.828163
350.594173,0.812537
351.422336,0.828163
352.266125,0.843789
353.094288,0.828163
353.938076,0.843789
354.766239,0.828163
355.578776,0.812537
